text,label
"A warm and beautifully acted film with memorable characters.",positive
"The story was predictable but the performances made it enjoyable.",positive
"I loved the pacing and the emotional ending felt earned.",positive
"This movie is charming, funny, and surprisingly thoughtful.",positive
"A strong cast and a clever script kept me interested.",positive
"The film starts slowly but becomes very moving by the end.",positive
"Excellent soundtrack and confident direction throughout the movie.",positive
"The characters felt real and the dialogue was sharp.",positive
"An inspiring film that balances humor and drama very well.",positive
"The plot has flaws, yet the final act is powerful and satisfying.",positive
"I would recommend this movie because it is entertaining and heartfelt.",positive
"The visuals are simple but the story is sincere and engaging.",positive
"A boring and poorly edited film with weak characters.",negative
"The acting felt flat and the story never became interesting.",negative
"I disliked the confusing plot and the ending was disappointing.",negative
"This movie is too long, repetitive, and emotionally empty.",negative
"The jokes rarely work and the dialogue sounds unnatural.",negative
"A messy film that wastes a good idea with bad execution.",negative
"The pacing is slow and most scenes feel unnecessary.",negative
"The villain is forgettable and the script is full of clichés.",negative
"I expected a tense thriller but the movie was dull and predictable.",negative
"The first half is acceptable, but the second half becomes incoherent.",negative
"Weak direction and noisy editing made the film hard to enjoy.",negative
"The movie tries to be emotional but feels forced and shallow.",negative
